 worker 000058 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000059 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000060 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000061 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000062 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000063 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000064 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000065 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000066 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000067 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000068 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000069 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000070 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000071 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000072 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000073 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000074 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000075 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000076 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000077 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000078 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000079 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000080 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000081 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000082 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000083 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000084 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000085 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000086 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000087 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000088 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000089 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000090 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000091 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000092 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000093 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000094 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000095 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000096 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000097 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000098 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000099 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000100 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000101 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000102 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000103 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
