 MRA_Host56 , ID: 55 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 56 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host57 , ID: 56 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 57 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host58 , ID: 57 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 58 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host59 , ID: 58 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 59 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host60 , ID: 59 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 60 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host61 , ID: 60 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 61 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host62 , ID: 61 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 62 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host63 , ID: 62 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 63 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host64 , ID: 63 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 64 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host65 , ID: 64 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 65 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host66 , ID: 65 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 66 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host67 , ID: 66 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 67 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host68 , ID: 67 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 68 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host69 , ID: 68 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 69 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host70 , ID: 69 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 70 	 Pre_ex: 208 	 Tem_Cor: 624
