  MRA_Host95 , ID: 94 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host96 , ID: 95 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host97 , ID: 96 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host98 , ID: 97 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host99 , ID: 98 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host100 , ID: 99 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host101 , ID: 100 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host102 , ID: 101 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host103 , ID: 102 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host104 , ID: 103 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host105 , ID: 104 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host106 , ID: 105 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host107 , ID: 106 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host108 , ID: 107 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host109 , ID: 108 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host110 , ID: 109 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host111 , ID: 110 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host112 , ID: 111 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host113 , ID: 112 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host114 , ID: 113 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host115 , ID: 114 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host116 , ID: 115 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host117 , ID: 116 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host118 , ID: 117 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host119 , ID: 118 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host120 , ID: 119 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host121 , ID: 120 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host122 , ID: 121 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host123 , ID: 122 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host124 , ID: 123 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host125 , ID: 124 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host126 , ID: 125 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host127 , ID: 126 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host128 , ID: 127 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host129 , ID: 128 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host130 , ID: 129 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host131 , ID: 130 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host132 , ID: 131 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host133 , ID: 132 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host134 , ID: 133 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host135 , ID: 134 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host136 , ID: 135 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host137 , ID: 136 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host138 , ID: 137 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host139 , ID: 138 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host140 , ID: 139 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host141 , ID: 140 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host142 , ID: 141 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host143 , ID: 142 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host144 , ID: 143 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host145 , ID: 144 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host146 , ID: 145 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host147 , ID: 146 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host148 , ID: 147 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host149 , ID: 148 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host150 , ID: 149 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host151 , ID: 150 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host152 , ID: 151 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host153 , ID: 152 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host154 , ID: 153 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host155 , ID: 154 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host156 , ID: 155 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host157 , ID: 156 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host158 , ID: 157 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host159 , ID: 158 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host160 , ID: 159 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host161 , ID: 160 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host162 , ID: 161 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host163 , ID: 162 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host164 , ID: 163 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host165 , ID: 164 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host166 , ID: 165 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host167 , ID: 166 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host168 , ID: 167 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host169 , ID: 168 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host170 , ID: 169 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host171 , ID: 170 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host172 , ID: 171 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host173 , ID: 172 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host174 , ID: 173 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host175 , ID: 174 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host176 , ID: 175 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host177 , ID: 176 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host178 , ID: 177 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host179 , ID: 178 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host180 , ID: 179 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host181 , ID: 180 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host182 , ID: 181 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host183 , ID: 182 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host184 , ID: 183 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host185 , ID: 184 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host186 , ID: 185 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host187 , ID: 186 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host188 , ID: 187 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host189 , ID: 188 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host190 , ID: 189 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host191 , ID: 190 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
